indoor,outdoor,someone_exist,fan
32.77,35.13,0,0
30.17,32.37,0,0
31.52,33.44,0,0
32.51,33.57,0,0
32.04,33.8,1,1
30.68,32.06,1,1
30.8,32.49,1,1
32.28,33.93,1,1
34.2,36.5,1,1
30.7,32.13,1,1
29.94,31.63,1,1
31.32,33.2,1,1
31.57,33.36,1,1
31.83,33.68,1,1
30.84,32.72,1,1
33.52,35.08,1,1
29.58,30.73,1,1
31.63,33.16,1,1
24.13,24.05,0,0
24.62,26.55,0,0
24.84,26.6,0,0
25.09,26.9,0,0
23.68,26.43,0,0
24.14,26.09,0,0
24.3,26.23,0,0
25.3,27.12,0,0
25.73,27.46,0,0
24.47,26.39,0,0
34.13,35.69,0,0
31.41,33.46,0,0
26.98,28.11,0,0
32.02,33.84,0,0
34.44,36.82,0,0
31.11,32.43,0,0
31.27,32.75,0,0
33.05,34.28,0,0
30.05,31.42,0,0
31.8,33.21,0,0
31.51,33.04,0,0
30.68,32.06,0,0
32.52,34.86,0,0
31.5,33.04,0,0
34.38,35.9,0,0
31.07,33.4,0,0
24.13,24.05,0,0
24.44,26.05,0,0
24.71,27.59,0,0
24.19,26.51,0,0
23.82,25.77,0,0
25.3,27.04,0,0
24.77,26.85,0,0
25.18,26.86,0,0
24.62,26.55,0,0
34.09,36.02,0,0
34.34,36.18,0,0
32.83,34.46,0,0
32.01,33.63,0,0
33.2,34.83,0,0
24.59,26.7,0,0
25.64,26.65,0,0
29.92,31.87,0,0
32.4,34.8,0,0
32.1,33.5,0,0
34.01,35.37,0,0
32.16,34.42,0,0
33.88,35.86,0,0
30.84,32.75,0,0
31.9,33.5,0,0
30.08,31.97,0,0
34.65,36.31,1,1
31.59,33.52,1,1
30.34,31.88,1,1
31,32.36,1,1
31.88,33.45,1,1
31.64,33.21,1,1
30.66,31.95,1,1
33.4,35.46,1,1
31.48,33.14,1,1
31.41,32.7,1,1
30.77,32.51,1,1
29.27,30.82,1,1
31.38,32.73,1,1
34.7,36.89,1,1
32.41,33.88,1,1
36.2,38.2,1,1
33.6,35.74,1,1
32.88,34.76,1,1
33.45,35.56,1,1
33.25,35.08,1,1
31.84,33.9,1,1
30.05,31.5,1,1
25.59,26.66,0,0
26.14,27.29,0,0
25.6,27.07,0,0
24.53,25.6,0,0
25.2,27.06,0,0
