temperature,humidity,surface moisture,smoke,CAUTION
27.01,86,0.27,0,0
26.53,86,0.27,0,0
26.17,86,0.27,0,0
25.79,87,0.27,0,0
25.45,87,0.27,0,0
24.21,90,0.27,0,0
23.56,91,0.27,0,0
22.96,91,0.27,0,0
22.47,91,0.27,0,0
22.65,89,0.27,0,0
25.82,85,0.27,0,0
29.28,72,0.27,1,1
30.85,68,0.27,0,1
31.89,65,0.27,0,1
32.62,63,0.26,1,1
32.95,61,0.26,1,1
33.03,80,0.28,0,0
32.81,60,0.26,1,1
32.37,60,0.26,1,1
31.72,62,0.26,0,1
30.79,68,0.26,1,1
28.92,76,0.26,0,0
27.88,81,0.26,0,0
27.43,84,0.26,0,0
27,87,0.27,0,0
26.62,89,0.27,0,0
26.11,92,0.28,0,0
25.63,90,0.27,0,0
25.03,91,0.27,0,0
24.44,91,0.27,0,0
23.87,91,0.27,0,0
23.17,92,0.27,0,0
22.65,93,0.27,0,0
23.19,90,0.27,0,0
26.18,87,0.27,0,0
29.02,56,0.23,1,1
30.43,72,0.27,0,0
31.44,69,0.27,1,1
32.02,65,0.27,1,1
32.31,62,0.26,0,1
32.38,61,0.26,0,1
32.14,62,0.26,1,1
31.66,63,0.26,1,1
30.87,66,0.26,0,1
29.82,69,0.26,1,1
27.95,77,0.26,0,0
26.96,81,0.26,0,0
26.66,83,0.26,0,0
26.4,86,0.27,0,0
26.23,38,0.25,1,1
25.76,92,0.27,0,0
25.14,92,0.27,0,0
24.61,93,0.27,0,0
24.12,93,0.27,0,0
23.59,94,0.27,0,0
23.05,95,0.27,0,0
22.56,95,0.27,0,0
22.96,94,0.27,0,0
25.86,90,0.27,0,0
28.34,80,0.27,0,0
31.02,93,0.32,0,0
31.36,67,0.27,0,0
32.25,63,0.27,1,1
32.64,62,0.26,0,1
32.58,62,0.26,1,1
32.16,65,0.26,0,1
31.64,67,0.26,0,0
30.57,70,0.26,1,1
28.97,76,0.26,1,1
27.59,83,0.26,0,0
26.85,86,0.26,0,0
26.46,89,0.26,0,0
26.25,90,0.26,0,0
25.95,91,0.26,0,0
25.45,94,0.26,0,0
25.43,93,0.28,0,0
25.02,94,0.28,0,0
24.66,96,0.28,0,0
24.39,96,0.28,0,0
24.24,94,0.28,0,0
24.17,95,0.28,0,0
24.83,93,0.28,0,0
27.18,87,0.28,0,0
28.83,80,0.28,0,0
29.05,63,0.28,1,1
28.48,85,0.3,0,0
28.12,82,0.3,0,0
27.89,82,0.3,0,0
29.13,79,0.3,0,0
29.36,77,0.29,1,1
29.28,76,0.29,0,0
29.13,76,0.29,0,0
29.09,77,0.29,0,0
27.89,81,0.29,0,0
28.05,79,0.29,0,0
27.42,82,0.28,0,0
27.01,84,0.28,0,0
26.67,85,0.28,0,0
26.37,86,0.28,0,0
26.16,87,0.28,0,0
26.2,87,0.28,0,0
25.87,88,0.28,0,0
25.69,88,0.28,0,0
25.57,88,0.28,0,0
25.38,89,0.28,0,0
25.27,90,0.28,0,0
26,89,0.28,0,0
28.41,80,0.28,0,0
30.07,76,0.28,0,0
29.97,83,0.29,0,0
29.79,84,0.3,0,0
28.65,81,0.3,0,0
28.27,81,0.3,0,0
29.1,83,0.3,0,0
29.17,85,0.3,0,0
27.92,82,0.3,0,0
28.23,85,0.3,0,0
27.37,91,0.29,0,0
27.02,93,0.29,0,0
27,93,0.28,0,0
26.75,93,0.28,0,0
26.48,94,0.28,0,0
26.09,96,0.28,0,0
25.53,99,0.28,0,0
25.44,98,0.28,0,0
25.37,97,0.28,0,0
25.26,97,0.28,0,0
25.06,97,0.28,0,0
24.78,98,0.28,0,0
24.93,97,0.28,0,0
26.28,93,0.28,0,0
28.19,81,0.28,0,0
29.48,74,0.28,0,0
30.18,70,0.28,1,1
30.55,68,0.28,1,1
30.7,68,0.27,1,1
30.53,68,0.27,1,1
30.33,69,0.27,1,1
29.96,70,0.27,0,0
29.36,72,0.27,0,0
28.63,76,0.27,0,0
27.4,82,0.27,0,0
26.5,94,0.3,0,0
26.02,96,0.3,0,0
25.59,97,0.3,0,0
25.42,98,0.29,0,0
25.22,98,0.29,0,0
25.12,97,0.29,0,0
24.96,97,0.29,0,0
24.79,97,0.29,0,0
24.64,97,0.29,0,0
24.55,97,0.29,0,0
24.45,97,0.29,0,0
24.49,97,0.29,0,0
25.18,95,0.28,0,0
27.27,90,0.28,0,0
28.69,85,0.28,0,0
28,84,0.29,0,0
28.08,84,0.29,0,0
27.81,85,0.29,0,0
27.75,85,0.29,0,0
27.99,85,0.3,0,0
27.62,85,0.3,0,0
27.26,87,0.3,0,0
27.69,87,0.3,0,0
26.82,89,0.3,0,0
27.37,90,0.3,0,0
27.23,92,0.3,0,0
27.13,93,0.29,0,0
26.91,92,0.29,0,0
26.7,93,0.29,0,0
26.64,94,0.29,0,0
26.36,94,0.29,0,0
25.72,96,0.29,0,0
25.45,95,0.29,0,0
25.29,94,0.29,0,0
25.17,93,0.28,0,0
25.46,94,0.28,0,0
27.42,90,0.28,0,0
28.89,82,0.28,0,0
29.3,85,0.29,0,0
28.48,85,0.3,0,0
28.68,81,0.3,0,0
28.15,81,0.3,0,0
29.26,79,0.3,0,0
29.08,78,0.3,0,0
29.72,82,0.3,0,0
28.24,89,0.29,0,0
28.91,82,0.29,0,0
28,86,0.29,0,0
27.81,92,0.31,0,0
27.47,92,0.3,0,0
27.2,92,0.3,0,0
26.93,92,0.3,0,0
26.69,92,0.3,0,0
26.4,91,0.3,0,0
26.02,91,0.3,0,0
25.35,92,0.3,0,0
24.93,91,0.29,0,0
24.43,92,0.29,0,0
24.11,93,0.29,0,0
24.48,92,0.29,0,0
25.87,93,0.29,0,0
27.85,84,0.29,0,0
29.05,78,0.29,0,0
30.73,70,0.29,1,1
31.87,66,0.29,1,1
32.24,64,0.29,1,1
31.24,69,0.28,1,1
31.23,68,0.28,1,1
30.89,71,0.28,1,1
30.12,75,0.28,1,1
29.43,81,0.28,0,0
28.73,85,0.28,0,0
28.61,84,0.28,0,0
28.01,87,0.28,0,0
27.89,87,0.28,0,0
27.7,87,0.28,0,0
27.5,87,0.28,0,0
26.97,88,0.28,0,0
26.6,88,0.28,0,0
26.19,87,0.28,0,0
25.82,87,0.28,0,0
25.67,87,0.28,0,0
25.64,87,0.28,0,0
25.82,87,0.28,0,0
26.96,87,0.28,0,0
28.86,79,0.28,0,0
30.23,74,0.28,1,1
30.84,71,0.27,0,1
30.45,73,0.27,0,1
30.14,80,0.27,0,1
30.94,69,0.27,1,1
31.31,66,0.27,1,1
31.01,68,0.27,1,1
30.44,73,0.27,1,1
29.95,80,0.27,1,1
28.72,83,0.27,0,0
29.64,81,0.27,0,0
29.16,82,0.27,0,0
28.78,83,0.27,0,0
28.4,83,0.27,0,0
27.75,84,0.27,0,0
26.97,86,0.27,0,0
26.42,85,0.27,0,0
25.89,85,0.27,0,0
25.42,85,0.27,0,0
24.94,84,0.27,0,0
24.09,85,0.27,0,0
23.99,86,0.27,0,0
27.05,84,0.27,0,0
30.63,69,0.27,1,1
32.23,64,0.27,1,1
33.2,60,0.27,0,1
31.08,70,0.27,1,1
31.11,72,0.27,0,1
34.18,57,0.27,0,1
34.45,55,0.27,1,1
34.45,56,0.26,0,1
34.06,57,0.26,1,1
33.21,63,0.26,1,1
31.46,70,0.26,0,1
30.14,74,0.27,0,1
29.48,76,0.27,1,1
28.84,77,0.27,0,0
27.87,80,0.27,0,0
26.65,83,0.27,0,0
25.64,85,0.27,0,0
25.01,85,0.27,0,0
24.28,85,0.27,0,0
23.81,84,0.27,0,0
23.59,82,0.27,0,0
23.46,81,0.27,0,0
23.62,82,0.27,0,0
26.48,82,0.27,0,0
30.35,68,0.26,1,1
32.13,61,0.26,1,1
32.99,58,0.26,0,1
33.71,57,0.26,0,1
34.27,55,0.26,0,1
34.52,54,0.26,0,1
34.42,53,0.26,0,1
32.15,61,0.26,0,1
33.3,59,0.26,1,1
32.37,66,0.26,1,1
30.83,71,0.26,1,1
27.38,84,0.26,0,0
26.27,85,0.27,0,0
25.21,86,0.27,0,0
24.23,86,0.27,0,0
23.42,87,0.27,0,0
22.93,87,0.27,0,0
23.23,85,0.27,0,0
23.43,83,0.27,0,0
23.97,81,0.27,0,0
23.81,82,0.27,0,0
23.3,85,0.27,0,0
23.58,86,0.27,0,0
26.68,84,0.26,0,0
29.73,72,0.27,0,0
31.21,67,0.27,0,1
32.32,63,0.27,1,1
33.03,62,0.27,0,1
32.24,63,0.27,1,1
33.44,57,0.27,0,1
33.42,56,0.27,0,1
33.16,56,0.26,0,1
32.61,57,0.26,1,1
31.73,63,0.26,0,1
29.77,70,0.26,1,1
28.57,74,0.26,0,0
27.54,78,0.26,0,0
26.74,81,0.27,0,0
25.97,82,0.27,0,0
25.14,84,0.27,0,0
23.91,88,0.27,0,0
23.01,90,0.27,0,0
22.21,91,0.27,0,0
21.53,92,0.27,0,0
21.05,91,0.27,0,0
20.69,91,0.27,0,0
20.97,89,0.27,0,0
24.73,84,0.26,0,0
28.98,71,0.27,0,0
30.86,67,0.27,1,1
32.22,62,0.26,1,1
33.13,58,0.26,1,1
33.65,57,0.26,0,1
